data;estado;value;treated
2010-01-01;acre;   36394;0
2010-01-01;alagoas;  170552;0
2010-01-01;amapa;   40688;0
2010-01-01;amazonas;  397269;0
2010-01-01;bahia; 1034068;0
2010-01-01;ceara;  504015;0
2010-01-01;df;  411421;0
2010-01-01;es;  584483;0
2010-01-01;goias;  643980;0
2010-01-01;maranhao;  242934;0
2010-01-01;mt;  446445;0
2010-01-01;ms;  323337;0
2010-01-01;mg; 2056652;0
2010-01-01;para;  425393;0
2010-01-01;pb;  213516;0
2010-01-01;parana; 1186849;0
2010-01-01;pe;  691127;0
2010-01-01;piaui;  161733;0
2010-01-01;rj; 1964384;0
2010-01-01;rn;  246070;0
2010-01-01;rs; 1541029;0
2010-01-01;rondonia;  160193;0
2010-01-01;rr;   31631;0
2010-01-01;sc;  864836;0
2010-01-01;sp; 6732896;0
2010-01-01;sergipe;  136250;0
2010-01-01;tocantins;   88507;0
2010-02-01;acre;   36877;0
2010-02-01;alagoas;  163162;0
2010-02-01;amapa;   30957;0
2010-02-01;amazonas;  398974;0
2010-02-01;bahia;  906359;0
2010-02-01;ceara;  452163;0
2010-02-01;df;  357523;0
2010-02-01;es;  559227;0
2010-02-01;goias;  574198;0
2010-02-01;maranhao;  212775;0
2010-02-01;mt;  397395;0
2010-02-01;ms;  356481;0
2010-02-01;mg; 1902185;0
2010-02-01;para;  356789;0
2010-02-01;pb;  194584;0
2010-02-01;parana; 1045314;0
2010-02-01;pe;  614845;0
2010-02-01;piaui;  154646;0
2010-02-01;rj; 1707862;0
2010-02-01;rn;  212792;0
2010-02-01;rs; 1144848;0
2010-02-01;rondonia;  141937;0
2010-02-01;rr;   30805;0
2010-02-01;sc;  741594;0
2010-02-01;sp; 7094619;0
2010-02-01;sergipe;  126437;0
2010-02-01;tocantins;   80136;0
2010-03-01;acre;   42921;0
2010-03-01;alagoas;  163560;0
2010-03-01;amapa;   63625;0
2010-03-01;amazonas;  368269;0
2010-03-01;bahia;  883327;0
2010-03-01;ceara;  453743;0
2010-03-01;df;  339124;0
2010-03-01;es;  566365;0
2010-03-01;goias;  672333;0
2010-03-01;maranhao;  215953;0
2010-03-01;mt;  436812;0
2010-03-01;ms;  367208;0
2010-03-01;mg; 1957225;0
2010-03-01;para;  380768;0
2010-03-01;pb;  189241;0
2010-03-01;parana; 1161594;0
2010-03-01;pe;  606695;0
2010-03-01;piaui;  139051;0
2010-03-01;rj; 1776963;0
2010-03-01;rn;  206511;0
2010-03-01;rs; 1421601;0
