data;estado;value;treated
2010-01-01;desemprego_es;148,79;0
2010-01-01;desemprego_rj;136,34;0
2010-01-01;desemprego_ap; 68,75;0
2010-01-01;desemprego_am; 73,86;0
2010-01-01;desemprego_pa; 74,42;0
2010-01-01;desemprego_ro; 83,50;0
2010-01-01;desemprego_rr; 72,78;0
2010-01-01;desemprego_to; 73,91;0
2010-01-01;desemprego_pr;148,53;0
2010-01-01;desemprego_ma;112,52;0
2010-01-01;desemprego_pi;117,30;0
2010-01-01;desemprego_ce;120,39;0
2010-01-01;desemprego_sc;152,57;0
2010-01-01;desemprego_sp;141,16;0
2010-01-01;desemprego_rs;131,64;0
2010-02-01;desemprego_es;149,71;0
2010-02-01;desemprego_rj;136,69;0
2010-02-01;desemprego_ap; 70,03;0
2010-02-01;desemprego_am; 74,47;0
2010-02-01;desemprego_pa; 75,23;0
2010-02-01;desemprego_ro; 84,62;0
2010-02-01;desemprego_rr; 73,84;0
2010-02-01;desemprego_to; 75,15;0
2010-02-01;desemprego_pr;149,44;0
2010-02-01;desemprego_ma;113,26;0
2010-02-01;desemprego_pi;117,77;0
2010-02-01;desemprego_ce;121,14;0
2010-02-01;desemprego_sc;154,07;0
2010-02-01;desemprego_sp;142,22;0
2010-02-01;desemprego_rs;132,81;0
2010-03-01;desemprego_es;150,63;0
2010-03-01;desemprego_rj;137,64;0
2010-03-01;desemprego_ap; 69,86;0
2010-03-01;desemprego_am; 75,47;0
2010-03-01;desemprego_pa; 75,51;0
2010-03-01;desemprego_ro; 86,23;0
2010-03-01;desemprego_rr; 74,66;0
2010-03-01;desemprego_to; 76,07;0
2010-03-01;desemprego_pr;150,98;0
2010-03-01;desemprego_ma;114,52;0
2010-03-01;desemprego_pi;119,61;0
2010-03-01;desemprego_ce;121,98;0
2010-03-01;desemprego_sc;154,72;0
2010-03-01;desemprego_sp;143,85;0
2010-03-01;desemprego_rs;134,48;0
2010-04-01;desemprego_es;152,70;0
2010-04-01;desemprego_rj;138,30;0
2010-04-01;desemprego_ap; 70,97;0
2010-04-01;desemprego_am; 76,00;0
2010-04-01;desemprego_pa; 76,12;0
2010-04-01;desemprego_ro; 87,78;0
2010-04-01;desemprego_rr; 75,47;0
2010-04-01;desemprego_to; 76,88;0
2010-04-01;desemprego_pr;152,35;0
2010-04-01;desemprego_ma;116,21;0
2010-04-01;desemprego_pi;121,11;0
2010-04-01;desemprego_ce;122,99;0
2010-04-01;desemprego_sc;155,87;0
2010-04-01;desemprego_sp;145,42;0
2010-04-01;desemprego_rs;135,69;0
2010-05-01;desemprego_es;154,45;0
2010-05-01;desemprego_rj;139,25;0
2010-05-01;desemprego_ap; 71,07;0
2010-05-01;desemprego_am; 76,92;0
2010-05-01;desemprego_pa; 76,88;0
2010-05-01;desemprego_ro; 89,24;0
2010-05-01;desemprego_rr; 75,35;0
2010-05-01;desemprego_to; 78,11;0
2010-05-01;desemprego_pr;153,62;0
2010-05-01;desemprego_ma;116,79;0
2010-05-01;desemprego_pi;122,25;0
2010-05-01;desemprego_ce;123,81;0
2010-05-01;desemprego_sc;156,38;0
2010-05-01;desemprego_sp;146,71;0
2010-05-01;desemprego_rs;136,26;0
2010-06-01;desemprego_es;154,08;0
2010-06-01;desemprego_rj;139,96;0
2010-06-01;desemprego_ap; 71,48;0
2010-06-01;desemprego_am; 77,95;0
2010-06-01;desemprego_pa; 77,61;0
2010-06-01;desemprego_ro; 90,27;0
2010-06-01;desemprego_rr; 75,84;0
2010-06-01;desemprego_to; 79,23;0
2010-06-01;desemprego_pr;154,31;0
2010-06-01;desemprego_ma;118,34;0
2010-06-01;desemprego_pi;123,79;0
2010-06-01;desemprego_ce;124,64;0
2010-06-01;desemprego_sc;156,94;0
2010-06-01;desemprego_sp;147,64;0
2010-06-01;desemprego_rs;136,73;0
2010-07-01;desemprego_es;154,30;0
2010-07-01;desemprego_rj;140,56;0
2010-07-01;desemprego_ap; 71,83;0
2010-07-01;desemprego_am; 78,75;0
2010-07-01;desemprego_pa; 78,64;0
2010-07-01;desemprego_ro; 91,16;0
2010-07-01;desemprego_rr; 75,94;0
2010-07-01;desemprego_to; 80,08;0
2010-07-01;desemprego_pr;155,16;0
2010-07-01;desemprego_ma;119,82;0
2010-07-01;desemprego_pi;124,62;0
2010-07-01;desemprego_ce;125,68;0
2010-07-01;desemprego_sc;157,43;0
2010-07-01;desemprego_sp;148,46;0
2010-07-01;desemprego_rs;137,30;0
2010-08-01;desemprego_es;155,29;0
2010-08-01;desemprego_rj;141,63;0
2010-08-01;desemprego_ap; 73,14;0
2010-08-01;desemprego_am; 80,00;0
2010-08-01;desemprego_pa; 79,79;0
2010-08-01;desemprego_ro; 92,28;0
2010-08-01;desemprego_rr; 77,46;0
2010-08-01;desemprego_to; 81,64;0
2010-08-01;desemprego_pr;156,58;0
2010-08-01;desemprego_ma;120,61;0
2010-08-01;desemprego_pi;125,87;0
2010-08-01;desemprego_ce;127,28;0
2010-08-01;desemprego_sc;158,73;0
2010-08-01;desemprego_sp;149,65;0
2010-08-01;desemprego_rs;138,24;0
2010-09-01;desemprego_es;155,87;0
2010-09-01;desemprego_rj;142,57;0
2010-09-01;desemprego_ap; 73,87;0
2010-09-01;desemprego_am; 81,00;0
2010-09-01;desemprego_pa; 80,73;0
2010-09-01;desemprego_ro; 93,44;0
2010-09-01;desemprego_rr; 79,16;0
2010-09-01;desemprego_to; 82,07;0
2010-09-01;desemprego_pr;157,51;0
2010-09-01;desemprego_ma;121,65;0
2010-09-01;desemprego_pi;125,91;0
2010-09-01;desemprego_ce;128,60;0
2010-09-01;desemprego_sc;159,91;0
2010-09-01;desemprego_sp;150,35;0
2010-09-01;desemprego_rs;138,90;0
2010-10-01;desemprego_es;156,56;0
2010-10-01;desemprego_rj;143,41;0
2010-10-01;desemprego_ap; 75,76;0
2010-10-01;desemprego_am; 81,89;0
2010-10-01;desemprego_pa; 81,44;0
2010-10-01;desemprego_ro; 93,70;0
2010-10-01;desemprego_rr; 80,64;0
2010-10-01;desemprego_to; 82,21;0
2010-10-01;desemprego_pr;158,51;0
2010-10-01;desemprego_ma;122,95;0
2010-10-01;desemprego_pi;127,54;0
2010-10-01;desemprego_ce;129,37;0
2010-10-01;desemprego_sc;161,34;0
2010-10-01;desemprego_sp;151,07;0
2010-10-01;desemprego_rs;140,00;0
2010-11-01;desemprego_es;157,26;0
2010-11-01;desemprego_rj;144,79;0
2010-11-01;desemprego_ap; 76,24;0
2010-11-01;desemprego_am; 82,62;0
2010-11-01;desemprego_pa; 82,11;0
2010-11-01;desemprego_ro; 94,17;0
2010-11-01;desemprego_rr; 81,85;0
2010-11-01;desemprego_to; 82,08;0
2010-11-01;desemprego_pr;159,19;0
2010-11-01;desemprego_ma;123,56;0
2010-11-01;desemprego_pi;127,79;0
2010-11-01;desemprego_ce;130,26;0
2010-11-01;desemprego_sc;162,53;0
2010-11-01;desemprego_sp;151,13;0
2010-11-01;desemprego_rs;141,00;0
2010-12-01;desemprego_es;155,54;0
2010-12-01;desemprego_rj;144,35;0
2010-12-01;desemprego_ap; 75,62;0
2010-12-01;desemprego_am; 80,98;0
2010-12-01;desemprego_pa; 81,51;0
2010-12-01;desemprego_ro; 92,95;0
2010-12-01;desemprego_rr; 81,46;0
2010-12-01;desemprego_to; 80,72;0
2010-12-01;desemprego_pr;156,45;0
2010-12-01;desemprego_ma;121,49;0
2010-12-01;desemprego_pi;126,81;0
2010-12-01;desemprego_ce;130,25;0
2010-12-01;desemprego_sc;162,41;0
2010-12-01;desemprego_sp;149,04;0
2010-12-01;desemprego_rs;139,91;0
2011-01-01;desemprego_es;155,93;0
2011-01-01;desemprego_rj;144,39;0
2011-01-01;desemprego_ap; 75,77;0
2011-01-01;desemprego_am; 82,10;0
2011-01-01;desemprego_pa; 81,83;0
2011-01-01;desemprego_ro; 93,35;0
2011-01-01;desemprego_rr; 82,49;0
2011-01-01;desemprego_to; 81,15;0
2011-01-01;desemprego_pr;157,44;0
2011-01-01;desemprego_ma;121,17;0
2011-01-01;desemprego_pi;126,89;0
2011-01-01;desemprego_ce;130,13;0
2011-01-01;desemprego_sc;163,98;0
2011-01-01;desemprego_sp;149,74;0
2011-01-01;desemprego_rs;140,93;0
2011-02-01;desemprego_es;156,76;0
2011-02-01;desemprego_rj;145,23;0
2011-02-01;desemprego_ap; 76,18;0
2011-02-01;desemprego_am; 83,58;0
2011-02-01;desemprego_pa; 82,69;0
2011-02-01;desemprego_ro; 95,12;0
2011-02-01;desemprego_rr; 83,23;0
2011-02-01;desemprego_to; 82,17;0
2011-02-01;desemprego_pr;158,76;0
2011-02-01;desemprego_ma;121,52;0
2011-02-01;desemprego_pi;126,98;0
2011-02-01;desemprego_ce;130,86;0
2011-02-01;desemprego_sc;165,74;0
2011-02-01;desemprego_sp;151,11;0
2011-02-01;desemprego_rs;142,13;0
2011-03-01;desemprego_es;156,71;0
